State, Population 2023 ,Per capita income 2023
Alabama,5117673,54112
Alaska,736510,71309
Arizona,7473027,62194
Arkansas,3069463,57603
California,39198693,80771
Colorado,5901339,79746
Connecticut,3643023,89307
Delaware,1036423,66557
District of Columbia,687324,105518
Florida,22904868,67821
Georgia,11064432,59691
Hawaii,1441387,65888
Idaho,1971122,59192
Illinois,12642259,71716
Indiana,6880131,61083
Iowa,3218414,62557
Kansas,2951500,65869
Kentucky,4550595,55063
Louisiana,4588071,58661
Maine,1399646,64922
Maryland,6217062,74945
Massachusetts,7066568,89760
Michigan,10083356,60865
Minnesota,5753048,72366
Mississippi,2943172,49593
Missouri,6208038,62484
Montana,1131302,65075
Nebraska,1987864,71006
Nevada,3214363,65822
New Hampshire,1402199,78936
New Jersey,9379642,81325
New Mexico,2121164,55166
New York,19737367,81630
North Carolina,10881189,61579
North Dakota,789047,71574
Ohio,11824034,61297
Oklahoma,4063882,60395
Oregon,4253653,67514
Pennsylvania,13017721,68649
Rhode Island,1103429,67105
South Carolina,5387830,57180
South Dakota,918305,72546
Tennessee,7148304,62039
Texas,30727890,65768
Utah,3443222,63700
Vermont,648708,66803
Virginia,8734685,73681
Washington,7857320,80472
West Virginia,1770495,52813
Wisconsin,5930405,64763
Wyoming,585067,81918


























